Country,Type,Deaths
Haiti,Storm,15925
Haiti,Total,250008
Honduras,Drought,0
Honduras,Earthquake,7
Honduras,Epidemic,266
Honduras,Flood,962
Honduras,Landslide,2800
Honduras,Mass movement (dry),10
Honduras,Storm,24754
Honduras,Wildfire,0
Honduras,Total,28799
Hong Kong,Drought,0
Hong Kong,Epidemic,299
Hong Kong,Extreme temperature,10
Hong Kong,Flood,312
Hong Kong,Landslide,212
Hong Kong,Storm,23742
Hong Kong,Wildfire,0
Hong Kong,Total,24575
Hungary,Drought,0
Hungary,Earthquake,0
Hungary,Extreme temperature,841
Hungary,Flood,310
Hungary,Storm,60
Hungary,Total,1211
Iceland,Earthquake,1
Iceland,Flood,0
Iceland,Landslide,50
Iceland,Volcanic activity,0
Iceland,Total,51
India,Drought,4250320
India,Earthquake,71616
India,Epidemic,4543995
India,Extreme temperature,17975
India,Flood,75593
India,Glacial lake outburst,234
India,Insect infestation,0
India,Landslide,5126
India,Mass movement (dry),61
India,Storm,166770
India,Wildfire,30
India,Total,9131720
Indonesia,Drought,9340
Indonesia,Earthquake,203431
Indonesia,Epidemic,3966
Indonesia,Flood,7327
Indonesia,Landslide,2697
Indonesia,Mass movement (dry),131
Indonesia,Storm,2024
Indonesia,Volcanic activity,13263
Indonesia,Wildfire,319
Indonesia,Total,242498
Iran (Islamic Republic of),Drought,0
Iran (Islamic Republic of),Earthquake,154266
Iran (Islamic Republic of),Epidemic,372
Iran (Islamic Republic of),Extreme temperature,158
Iran (Islamic Republic of),Flood,8048
Iran (Islamic Republic of),Insect infestation,0
Iran (Islamic Republic of),Landslide,128
Iran (Islamic Republic of),Storm,352
Iran (Islamic Republic of),Wildfire,0
Iran (Islamic Republic of),Total,163324
Iraq,Drought,0
Iraq,Earthquake,30
Iraq,Epidemic,38
Iraq,Flood,144
Iraq,Total,212
Ireland,Epidemic,2
Ireland,Flood,5
Ireland,Storm,40
Ireland,Total,47
Israel,Drought,0
Israel,Earthquake,20
Israel,Epidemic,12
Israel,Extreme temperature,0
Israel,Flood,36
Israel,Landslide,20
Israel,Storm,12
Israel,Wildfire,44
Israel,Total,144
Italy,Drought,0
Italy,Earthquake,115607
Italy,Epidemic,3
Italy,Extreme temperature,20173
Italy,Flood,1116
Italy,Landslide,2591
Italy,Storm,318
Italy,Volcanic activity,735
Italy,Wildfire,21
Italy,Total,140564
Jamaica,Drought,0
Jamaica,Earthquake,1200
Jamaica,Epidemic,49
Jamaica,Flood,730
Jamaica,Landslide,53
Jamaica,Mass movement (dry),40
Jamaica,Storm,608
Jamaica,Total,2680
Japan,Drought,0
Japan,Earthquake,188161
Japan,Epidemic,1
Japan,Extreme temperature,1048
Japan,Flood,13513
Japan,Landslide,1084
Japan,Storm,34943
Japan,Volcanic activity,578
Japan,Wildfire,0
Japan,Total,239328
Jordan,Drought,0
Jordan,Earthquake,268
Jordan,Epidemic,4
Jordan,Extreme temperature,15
Jordan,Flood,345
Jordan,Insect infestation,0
Jordan,Storm,16
Jordan,Total,648
Kazakhstan,Earthquake,453
Kazakhstan,Epidemic,7
Kazakhstan,Extreme temperature,3
Kazakhstan,Flood,64
Kazakhstan,Landslide,48
Kazakhstan,Storm,112
Kazakhstan,Wildfire,0
Kazakhstan,Total,687
Kenya,Drought,196
Kenya,Earthquake,1
Kenya,Epidemic,4958
Kenya,Flood,2039
Kenya,Insect infestation,0
Kenya,Landslide,153
Kenya,Storm,50
Kenya,Total,7397
Kiribati,Drought,0
Kiribati,Epidemic,17
Kiribati,Flood,0
Kiribati,Storm,3
Kiribati,Total,20
Korea (the Democratic People's Republic of),Drought,0
Korea (the Democratic People's Republic of),Epidemic,4
Korea (the Democratic People's Republic of),Extreme temperature,0
Korea (the Democratic People's Republic of),Flood,2778
Korea (the Democratic People's Republic of),Storm,235
Korea (the Democratic People's Republic of),Total,3017
Kuwait,Epidemic,0
Kuwait,Flood,3
Kuwait,Total,3
Kyrgyzstan,Drought,0
Kyrgyzstan,Earthquake,132
Kyrgyzstan,Epidemic,22
Kyrgyzstan,Extreme temperature,27
Kyrgyzstan,Flood,4
Kyrgyzstan,Landslide,273
Kyrgyzstan,Storm,4
Kyrgyzstan,Total,462
Laos,Drought,0
Laos,Epidemic,863
Laos,Flood,666
Laos,Storm,74
Laos,Total,1603
Latvia,Epidemic,0
Latvia,Extreme temperature,86
Latvia,Storm,6
Latvia,Wildfire,0
Latvia,Total,92
Lebanon,Earthquake,136
Lebanon,Flood,440
